Hex_ID,Depth_m
75321,-1.780468793
75322,-1.669036932
75323,-1.575788699
75324,-1.481001171
75325,-1.346533071
75326,-1.156668279
75327,-0.942238635
75328,-0.733963921
75329,-0.515033788
75330,-0.197308269
75331,-0.026250012
75332,0
75333,0
75375,0
75376,0
75377,0
75378,0
75383,0
75384,0
75385,0
77786,-0.037310847
77787,-0.203870078
77788,-0.131159763
77789,-0.243339725
77790,-0.713034529
77791,-1.005914036
77792,-0.197316408
77799,0
77800,0
77801,0
77802,0
77803,0
77804,0
77805,0
77806,0
77807,0
77808,0
77809,0
77810,0
77811,0
77812,0
77813,-0.260290944
77814,-4.61418289
77815,-9.138964261
77816,-13.97950252
77817,-17.70163695
77818,-17.99135997
77819,-17.52682902
77820,-17.07347065
77821,-16.67810873
77822,-16.82334521
77823,-15.93938057
77824,-15.50280838
77825,-14.9184173
77826,-14.33968635
77827,-14.44137549
77828,-13.73330011
77829,-13.5564423
77830,-13.31118983
77831,-13.03029999
77832,-13.16829622
77833,-13.83572292
77834,-14.0314726
77835,-14.09527452
77836,-14.11784989
77837,-14.07207129
77838,-14.02334403
77839,-14.07793372
77840,-14.63346028
77841,-14.40982393
77842,-14.48295319
77843,-14.56916071
77844,-14.61924487
77845,-14.61573229
77846,-14.64824193
77847,-14.67236139
77848,-14.16249949
77849,-13.81738102
77850,-13.47972489
77851,-13.22841348
77852,-13.14135019
77853,-13.19845252
77854,-12.80305107
77855,-12.06108822
77856,-11.27274099
77857,-10.48851909
77858,-9.845356027
77859,-9.359770551
77860,-9.017267619
77861,-8.712860619
77862,-8.509606165
77863,-8.322558861
77864,-8.180276266
77865,-8.095507022
77866,-8.041326608
77867,-7.968235721
77868,-7.636880946
77869,-7.26842146
77870,-6.948716556
77871,-6.753125587
77872,-6.711213611
77873,-6.548318321
77874,-4.678101082
77875,-4.431160632
77876,-4.876186665
77877,-4.494346019
77878,-4.037643954
77879,-3.513279449
77880,-3.29256356
77881,-2.663564454
77882,-2.603226858
77883,-2.364720922
77884,-2.083096106
77885,-0.780094535
77886,-0.114084688
77891,0
77892,-0.000656398
77893,-0.133206668
77894,-0.614604418
77895,-2.304621102
77896,-2.5501051
77897,-2.416753792
77898,-2.255905616
77899,-2.088270499
77900,-1.926666119
77901,-1.77563871
77902,-1.649380138
77903,-1.564602173
77904,-1.522700079
77905,-1.512118022
77906,-1.508621433
77907,-1.450088959
77908,-1.313462851
77909,-1.058340415
77910,-0.754355699
77911,-0.373534794
77912,-0.041261099
77913,0
77925,0
77933,0
77934,0
77954,0
77955,0
77956,0
77957,0
77963,0
77964,0
77965,0
80361,-0.025870148
80362,-0.442014662
80363,-0.806233129
80364,-0.71845353
80365,-1.926548103
80366,-2.278733874
80367,-2.183489542
80368,-3.043494461
80369,-3.802347851
80370,-2.768942324
80371,-0.2637129
80377,0
80378,0
80379,0
80380,0
80381,0
80382,0
80383,0
80384,0
80385,0
80386,0
80387,0
80388,0
80389,0
80390,0
80391,-0.116768327
80392,-4.15889818
80393,-10.08556927
80394,-16.14379135
80395,-18.14697024
80396,-17.60672763
80397,-17.06966623
80398,-16.55431861
80399,-16.10987481
80400,-16.29593787
80401,-15.30836443
80402,-14.81667003
80403,-14.33210774
80404,-13.80489109
80405,-13.78156925
80406,-13.20213253
80407,-12.95460694
80408,-12.76157919
80409,-12.58875253
80410,-12.57002344
80411,-13.0122011
80412,-13.24910292
80413,-13.35336632
80414,-13.38917576
